Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24-030,2000,12.1,28,18,20,6,2,19,30,63.3,11,9,5,4,6,34,23,0,Matches
2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,23-104,2000,4.6,10,7,3,5,2,6,10,60,4,11,0,11,0,10,3,0,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-161,2003,1.1,2,2,1,1,0,1,1,100,0,2,0,2,0,2,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-128,1987,16,34,21,17,15,2,13,25,52,12,26,17,9,19,53,50,0,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-314,2000,13.9,17,12,6,8,3,5,12,41.7,7,9,0,9,9,26,11,0,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31-002,1993,19,53,28,25,23,5,24,65,36.9,41,21,5,16,39,92,29,1,Matches
7,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20-312,2003,4.7,1,1,0,1,0,1,2,50,1,1,0,1,0,1,3,0,Matches
8,Abner,br BRA,DF,Betis,es La Liga,23-252,2000,12.8,20,17,12,7,1,14,27,51.9,13,21,4,17,11,31,51,0,Matches
9,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23-350,2000,4.2,1,1,0,0,1,1,3,33.3,2,3,0,3,1,2,1,0,Matches
10,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24-330,1999,13.9,16,8,13,1,2,10,18,55.6,8,14,10,4,12,28,69,0,Matches
11,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-358,1988,16.6,18,11,14,4,0,9,12,75,3,9,7,2,23,41,44,0,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,32-098,1991,5.7,13,9,9,4,0,5,6,83.3,1,5,1,4,4,17,8,0,Matches
13,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,21-065,2002,4.3,4,2,1,2,1,0,4,0,4,4,1,3,1,5,1,0,Matches
14,Bénie Adama Traore,ci CIV,FW,Nantes,fr Ligue 1,21-065,2002,0.8,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
15,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24-005,2000,17,9,4,3,2,4,3,7,42.9,4,4,1,3,4,13,5,0,Matches
16,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22-242,2001,1.1,5,1,1,2,2,1,2,50,1,1,0,1,0,5,1,0,Matches
17,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30-256,1993,1.6,3,2,0,2,1,1,2,50,1,2,0,2,0,3,2,0,Matches
18,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,26-132,1997,8,9,5,5,4,0,8,12,66.7,4,10,8,2,14,23,42,0,Matches
19,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,26-027,1998,10.9,1,0,1,0,0,0,6,0,6,8,1,7,4,5,17,0,Matches
20,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22-016,2002,4.1,7,7,3,2,2,3,10,30,7,6,0,6,2,9,1,0,Matches
21,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22-033,2002,12.7,20,11,11,5,4,10,24,41.7,14,12,0,12,12,32,9,0,Matches
22,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,21-166,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
23,Amine Adli,ma MAR,"MF,DF",Leverkusen,de Bundesliga,23-269,2000,2.9,6,1,1,2,3,4,6,66.7,2,5,1,4,3,9,1,0,Matches
24,Yacine Adli,fr FRA,MF,Milan,it Serie A,23-189,2000,7.5,24,13,12,9,3,10,25,40,15,8,5,3,12,36,11,0,Matches
25,Adryelson,br BRA,FW,Lyon,fr Ligue 1,25-317,1998,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
26,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,23-120,2000,2.6,7,6,1,6,0,2,2,100,0,5,0,5,2,9,2,0,Matches
27,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27-028,1997,14.5,18,14,4,13,1,7,19,36.8,12,18,3,15,9,27,12,0,Matches
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26-231,1997,14.6,33,20,15,16,2,23,35,65.7,12,19,7,12,31,64,58,1,Matches
29,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21-359,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
30,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21-359,2002,0.8,1,1,0,1,0,1,1,100,0,1,0,1,0,1,0,0,Matches
31,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,24-129,1999,5,11,8,7,3,1,6,8,75,2,1,0,1,3,14,11,0,Matches
32,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-310,1996,15.7,19,8,13,6,0,11,13,84.6,2,23,17,6,16,35,70,2,Matches
33,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30-283,1993,12.5,25,16,13,10,2,11,22,50,11,19,2,17,16,41,24,0,Matches
34,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20-220,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
35,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21-311,2002,1.6,3,2,2,1,0,3,7,42.9,4,0,0,0,1,4,2,0,Matches
36,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24-314,1999,15.5,37,26,28,7,2,16,28,57.1,12,25,14,11,19,56,63,0,Matches
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28-127,1995,4.5,8,3,6,2,0,4,8,50,4,3,1,2,4,12,28,0,Matches
38,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27-118,1996,11,26,15,21,4,1,17,23,73.9,6,10,3,7,8,34,38,1,Matches
39,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22-242,2001,13.1,37,22,19,14,4,12,18,66.7,6,16,5,11,11,48,25,0,Matches
40,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25-222,1998,7.4,5,4,1,3,1,2,5,40,3,2,1,1,1,6,7,0,Matches
41,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25-292,1998,8.2,19,10,12,6,1,14,20,70,6,7,1,6,6,25,26,0,Matches
42,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-343,1994,9.9,2,2,1,1,0,1,6,16.7,5,5,1,4,0,2,4,0,Matches
43,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28-199,1995,14,19,10,8,8,3,9,19,47.4,10,14,7,7,11,30,39,1,Matches
44,Marley Aké,fr FRA,FW,Udinese,it Serie A,23-029,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
45,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-350,1995,13.2,16,8,12,4,0,8,12,66.7,4,8,0,8,7,23,30,0,Matches
46,Ilias Akhomach,es ESP,"MF,FW",Villarreal,es La Liga,19-293,2004,9.6,22,16,8,10,4,6,11,54.5,5,7,2,5,8,30,8,0,Matches
47,Sergio Akieme,es ESP,DF,Almería,es La Liga,26-049,1997,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0,Matches
48,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21-343,2002,7.3,14,10,5,7,2,5,15,33.3,10,8,0,8,5,19,0,0,Matches
49,Paul Akouokou,ci CIV,MF,Betis,es La Liga,26-045,1997,0.3,5,3,0,2,3,3,3,100,0,3,1,2,1,6,1,0,Matches
50,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26-045,1997,3.3,14,9,2,10,2,6,7,85.7,1,5,1,4,6,20,9,0,Matches
