Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24-030,2000,12.1,20,1.67,1,0.08
2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,23-104,2000,4.6,10,2.16,1,0.22
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-161,2003,1.1,2,1.78,1,0.89
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-128,1987,16,10,0.62,0,0
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-314,2000,13.9,22,1.58,2,0.14
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31-002,1993,19,32,1.68,4,0.21
7,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20-312,2003,4.7,18,3.86,1,0.21
8,Abner,br BRA,DF,Betis,es La Liga,23-252,2000,12.8,13,1.02,0,0
9,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23-350,2000,4.2,9,2.15,1,0.24
10,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24-330,1999,13.9,8,0.57,0,0
11,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-358,1988,16.6,14,0.85,1,0.06
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,32-098,1991,5.7,20,3.5,1,0.18
13,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,21-065,2002,4.3,6,1.4,1,0.23
14,Bénie Adama Traore,ci CIV,FW,Nantes,fr Ligue 1,21-065,2002,0.8,4,5,1,1.25
15,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24-005,2000,17,32,1.88,2,0.12
16,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22-242,2001,1.1,2,1.89,0,0
17,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30-256,1993,1.6,7,4.29,0,0
18,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,26-132,1997,8,4,0.5,0,0
19,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,26-027,1998,10.9,25,2.29,2,0.18
20,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22-016,2002,4.1,7,1.7,1,0.24
21,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22-033,2002,12.7,36,2.83,4,0.31
22,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,21-166,2002,0.1,0,0,0,0
23,Amine Adli,ma MAR,"MF,DF",Leverkusen,de Bundesliga,23-269,2000,2.9,17,5.8,3,1.02
24,Yacine Adli,fr FRA,MF,Milan,it Serie A,23-189,2000,7.5,26,3.45,4,0.53
25,Adryelson,br BRA,FW,Lyon,fr Ligue 1,25-317,1998,0,0,0,0,0
26,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,23-120,2000,2.6,9,3.4,0,0
27,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27-028,1997,14.5,19,1.31,1,0.07
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26-231,1997,14.6,20,1.37,0,0
29,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21-359,2002,0.1,0,0,0,0
30,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21-359,2002,0.8,3,3.75,0,0
31,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,24-129,1999,5,11,2.19,1,0.2
32,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-310,1996,15.7,10,0.64,0,0
33,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30-283,1993,12.5,31,2.48,4,0.32
34,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20-220,2003,0.1,0,0,0,0
35,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21-311,2002,1.6,5,3.04,1,0.61
36,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24-314,1999,15.5,14,0.9,1,0.06
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28-127,1995,4.5,6,1.33,1,0.22
38,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27-118,1996,11,17,1.55,1,0.09
