Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,shortCmp,shortAtt,shortCmp%,longCmp,longAtt,longCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24-030,2000,12.1,379,501,75.6,6256,2424,186,213,87.3,31,56,55.4,1,0.8,0.9,0.2,7,22,12,2,40,Matches
2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,23-104,2000,4.6,100,129,77.5,1343,353,62,66,93.9,2,7,28.6,0,0.5,0.5,-0.5,6,11,0,0,10,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-161,2003,1.1,41,50,82,576,71,20,25,80,0,2,0,1,0.1,0.1,0.9,1,4,2,0,5,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-128,1987,16,800,968,82.6,15081,5141,257,289,88.9,69,130,53.1,0,0.2,0.4,-0.2,5,72,2,0,74,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-314,2000,13.9,689,774,89,10802,2667,337,375,89.9,35,47,74.5,0,0.5,1.1,-0.5,6,78,5,2,69,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31-002,1993,19,955,1115,85.7,16707,4863,398,443,89.8,96,144,66.7,1,0.9,1,0.1,14,102,12,1,87,Matches
7,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20-312,2003,4.7,70,89,78.7,977,134,45,56,80.4,4,5,80,0,1.5,0.5,-1.5,10,1,4,1,6,Matches
8,Abner,br BRA,DF,Betis,es La Liga,23-252,2000,12.8,517,668,77.4,7684,3740,298,333,89.5,30,65,46.2,0,0.6,1,-0.6,7,17,7,2,28,Matches
9,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23-350,2000,4.2,69,97,71.1,1050,336,32,40,80,3,4,75,0,0.2,0.2,-0.2,4,8,4,0,12,Matches
10,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24-330,1999,13.9,303,409,74.1,6734,3071,84,100,84,53,114,46.5,0,0,0.1,0,1,28,1,0,29,Matches
11,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-358,1988,16.6,983,1096,89.7,17642,5438,385,419,91.9,74,106,69.8,1,1.7,1.1,-0.7,5,38,3,1,49,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,32-098,1991,5.7,270,348,77.6,5182,1934,118,132,89.4,41,74,55.4,1,0.4,0.7,0.6,7,21,9,7,26,Matches
13,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,21-065,2002,4.3,55,71,77.5,775,185,34,38,89.5,1,1,100,0,0.5,0.5,-0.5,4,2,7,1,9,Matches
