Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24-030,2000,12.1,314,1908,998,19,11,7,11,7,310,22,Matches
2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,23-104,2000,4.6,115,629,334,7,7,0,12,5,122,23,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-161,2003,1.1,43,193,50,2,0,1,5,4,46,7,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-128,1987,16,800,4655,2558,23,12,0,17,2,737,4,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-314,2000,13.9,713,3782,1435,7,30,0,15,9,674,17,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31-002,1993,19,1002,4740,2028,16,22,2,15,16,903,30,Matches
7,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20-312,2003,4.7,103,533,173,6,5,2,22,5,108,39,Matches
8,Abner,br BRA,DF,Betis,es La Liga,23-252,2000,12.8,392,1602,825,13,9,5,13,11,426,54,Matches
9,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23-350,2000,4.2,106,702,325,12,9,3,11,5,106,35,Matches
10,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24-330,1999,13.9,262,1307,786,2,4,0,7,1,267,0,Matches
11,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-358,1988,16.6,738,3291,1639,13,7,0,1,1,878,16,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,32-098,1991,5.7,204,969,572,13,9,2,8,6,237,18,Matches
13,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,21-065,2002,4.3,72,462,174,7,5,3,10,7,69,14,Matches
14,Bénie Adama Traore,ci CIV,FW,Nantes,fr Ligue 1,21-065,2002,0.8,18,136,74,4,5,1,3,1,18,10,Matches
